cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
12103.400698808022,21.0,525.5658319732174,920,9.999999747378752e-05,69.23876190185547,0.6923880577087402,2.6660492420196533,0.949999988079071,123.8529281616211,124.54537963867188,2426.40380859375,0.05000000074505806,501.33172607421875,1.2026113271713257,3.706434488296509,6.078938007354736,501.3317565917969,98.72914123535156,9956.2119140625
12628.049970638938,22.0,524.6492718309164,960,9.999999747378752e-05,94.54048156738281,0.9454041123390198,7.750975131988525,0.949999988079071,518.838134765625,519.7838745117188,10229.4931640625,0.05000000074505806,47.79253387451172,1.2630395889282227,4.35385274887085,2.4654455184936523,47.792537689208984,25.311161041259766,873.1275024414062
13152.31179352384,23.0,524.2618228849024,1000,9.999999747378752e-05,76.76139068603516,0.7676138281822205,3.466449737548828,0.949999988079071,474.1097412109375,474.8773498535156,9416.33203125,0.05000000074505806,649.7825317382812,0.9071641564369202,2.999807119369507,6.54529333114624,649.7825317382812,113.66973114013672,12938.654296875
13686.552712188102,24.0,534.2409186642617,1040,9.999999747378752e-05,67.2734603881836,0.6727344393730164,2.757810592651367,0.949999988079071,303.3353576660156,304.0083923339844,6014.30859375,0.05000000074505806,697.5576782226562,0.834529459476471,2.713465452194214,6.684640884399414,697.5577392578125,117.83675384521484,13899.5966796875
14214.280448053032,25.0,527.7277358649299,1080,9.999999747378752e-05,61.22113037109375,0.6122105717658997,2.406724452972412,0.949999988079071,235.16305541992188,235.7751922607422,4657.533203125,0.05000000074505806,129.00953674316406,0.7941932678222656,2.415177822113037,3.260195732116699,129.00953674316406,50.11425018310547,2534.30224609375
14742.548323296942,26.0,528.2678752439097,1120,9.999999747378752e-05,61.13029861450195,0.6113032698631287,2.22664737701416,0.949999988079071,117.10832214355469,117.71953582763672,2299.860107421875,0.05000000074505806,58.40467834472656,0.7924818396568298,2.3622500896453857,2.4119951725006104,58.40468215942383,33.18274688720703,1123.2108154296875
15261.141115559265,27.0,518.5927922623232,1160,9.999999747378752e-05,59.29771423339844,0.5929774045944214,2.156111001968384,0.949999988079071,107.13670349121094,107.72966766357422,2101.767822265625,0.05000000074505806,46.04548645019531,0.7247793078422546,2.1535911560058594,2.1615238189697266,46.04549026489258,29.459671020507812,879.9915161132812
15795.152226625942,28.0,534.0111110666767,1200,9.999999747378752e-05,60.19702911376953,0.6019696593284607,2.026552438735962,0.949999988079071,72.33842468261719,72.94041442871094,1408.263916015625,0.05000000074505806,3.2111716270446777,0.7074610590934753,2.0459628105163574,0.8850725889205933,3.2111716270446777,4.2596917152404785,25.350135803222656
16321.751250097528,29.0,526.5990234715864,1240,9.999999747378752e-05,56.07343292236328,0.5607340335845947,1.8646750450134277,0.949999988079071,41.89470291137695,42.4554443359375,802.4652709960938,0.05000000074505806,75.809326171875,0.6711376309394836,1.9250999689102173,2.552415609359741,75.80931854248047,38.29670333862305,1479.609619140625
16846.62273699045,30.0,524.8714868929237,1280,9.999999747378752e-05,57.43599319458008,0.5743594765663147,1.8996728658676147,0.25,617.591064453125,618.1653442382812,822.821533203125,0.75,121.1942138671875,0.8308703899383545,2.245049476623535,36.62751007080078,1786.482666015625,48.559722900390625,2381.228271484375
17360.134028337896,31.0,513.5112913474441,1320,9.999999747378752e-05,59.33977508544922,0.5933977961540222,2.0210554599761963,0.25,2965.515380859375,2966.108642578125,3953.3466796875,0.75,115.18490600585938,0.7235408425331116,2.08563494682312,35.74586486816406,1698.5745849609375,47.41996765136719,2264.071044921875
17884.806376344524,32.0,524.6723480066285,1360,9.999999747378752e-05,58.31541442871094,0.5831538438796997,1.9908978939056396,0.25,5086.17333984375,5086.7587890625,6780.9013671875,0.75,729.1695556640625,0.7490395903587341,2.104475259780884,90.59778594970703,10908.0810546875,120.54737091064453,14543.4052734375
