cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_checkpoint_score_raw,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
11520.241422109306,43.0,255.41634446009994,1800,9.999999747378752e-05,1.5951799154281616,0.25,3569.177490234375,4758.37158203125,0.75,inf,48.24161148071289,0.7429840564727783,1.525173544883728,22.97928237915039,702.2716674804688,30.391382217407227,935.8539428710938
11775.831738922745,44.0,255.59031681343913,1840,7.999999797903001e-05,1.5721150636672974,0.25,1738.8404541015625,2317.9296875,0.75,inf,38.36412048339844,0.7237615585327148,1.4810905456542969,20.43097686767578,554.7265625,27.000049591064453,739.1416625976562
12030.696024829522,45.0,254.8642859067768,1880,7.999999797903001e-05,1.5349199771881104,0.25,1834.96044921875,2446.10205078125,0.75,inf,148.08071899414062,0.7169138193130493,1.469275712966919,40.732357025146484,2200.640625,54.070838928222656,2933.697998046875
12285.897609813139,46.0,255.20158498361707,1920,7.999999797903001e-05,1.5378305912017822,0.25,2360.022705078125,3146.18408203125,0.75,inf,15.144757270812988,0.7209562659263611,1.482939600944519,12.388832092285156,206.4102020263672,16.278125762939453,274.71929931640625
12540.502535231411,47.0,254.60492541827261,1960,7.999999797903001e-05,1.5232025384902954,0.25,2384.496337890625,3178.82080078125,0.75,inf,10.368935585021973,0.7021457552909851,1.4452561140060425,9.928750038146973,135.30044555664062,13.004284858703613,179.91883850097656
12795.842919386923,48.0,255.34038415551186,2000,7.999999797903001e-05,1.542967438697815,0.25,2448.222412109375,3263.781982421875,0.75,inf,387.4068908691406,0.7813020348548889,1.5980753898620605,65.88885498046875,5788.72998046875,87.59136962890625,7717.7744140625
13051.44607253559,49.0,255.60315314866602,2040,7.999999797903001e-05,1.6432430744171143,0.25,2422.167236328125,3229.0087890625,0.75,inf,412.1060791015625,0.7393698692321777,1.5021876096725464,68.116943359375,6160.56005859375,90.57613372802734,8213.580078125
13319.225102964789,50.0,267.77903042919934,2080,7.999999797903001e-05,1.598695993423462,0.25,3373.585693359375,4497.58154296875,0.75,2.286339044570923,2.286339044570923,0.748323380947113,1.52114737033844,2.6036336421966553,12.9990234375,3.2220704555511475,16.824983596801758
13579.351818816736,51.0,260.12671585194767,2120,7.999999797903001e-05,1.606220006942749,0.25,4655.7314453125,6207.107421875,0.75,121.50218963623047,121.50218963623047,0.7441082000732422,1.5233107805252075,36.843841552734375,1801.2064208984375,48.8770866394043,2401.100830078125
13840.832126384601,52.0,261.48030756786466,2160,7.999999797903001e-05,1.5565285682678223,0.25,4569.40576171875,6092.0224609375,0.75,407.5025634765625,407.5025634765625,0.7154901623725891,1.4645289182662964,67.73403930664062,6092.03564453125,90.07356262207031,8122.22509765625
14096.633737314492,53.0,255.80161092989147,2200,7.999999797903001e-05,1.53034245967865,0.25,2873.282470703125,3830.532958984375,0.75,12.590975761413574,12.590975761413574,0.7182908058166504,1.463149905204773,11.158266067504883,168.3805389404297,14.638257026672363,224.0196533203125
14351.391237936914,54.0,254.7575006224215,2240,7.999999797903001e-05,1.5713989734649658,0.25,1052.212890625,1402.4267578125,0.75,20.999549865722656,20.999549865722656,0.7239877581596375,1.4713553190231323,14.860003471374512,294.394287109375,19.572010040283203,392.0352478027344
14607.666794000193,55.0,256.2755560632795,2280,7.999999797903001e-05,1.5568554401397705,0.25,1128.6083984375,1504.2919921875,0.75,6.371445178985596,6.371445178985596,0.7280787825584412,1.4768621921539307,7.3625006675720215,74.89559936523438,9.573974609375,99.36852264404297
